101, 476
169, 479
92, 625
15, 622
169, 479
238, 481
171, 629
92, 625
238, 481
308, 483
250, 633
171, 629
308, 483
378, 485
331, 636
250, 633
378, 485
450, 487
413, 640
331, 636
450, 487
523, 489
497, 644
413, 640
523, 489
597, 492
583, 648
497, 644
597, 492
673, 494
670, 652
583, 648
673, 494
749, 496
758, 656
670, 652
749, 496
827, 499
849, 661
758, 656
827, 499
906, 501
941, 665
849, 661
906, 501
987, 504
1035, 669
941, 665
1148, 511
1065, 508
1015, 378
1087, 380
1065, 508
984, 505
945, 377
1015, 378
984, 505
904, 502
875, 375
945, 377
904, 502
826, 500
807, 374
875, 375
826, 500
748, 497
739, 372
807, 374
748, 497
672, 494
673, 371
739, 372
672, 494
598, 492
607, 369
673, 371
598, 492
524, 489
542, 368
607, 369
524, 489
451, 487
478, 367
542, 368
451, 487
380, 485
415, 365
478, 367
380, 485
309, 482
353, 364
415, 365
309, 482
240, 480
291, 363
353, 364
240, 480
171, 478
230, 362
291, 363
